Model,Coherence,Perplexity,Diversity
LSA,0.5397867890866384,,0.555
LDA,0.6235825377334091,-8.5201992893843,0.79
HDP,0.6492855545418005,-14.005011214244476,0.635
BERTopic,0.5508660937885986,,0.8421052631578947
